"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1777186.39545164,-0.9576853823478,0.431170194465648,-2.22113076144947,0.0263421060793311,0.691565815582292
"FGA",1098898.64668052,0.465667757679931,0.340160701459164,1.36896400931203,0.171010525414882,0.921513148606478
"FGB",1060068.62658975,0.0621514284237726,0.357798409707461,0.173705155577936,0.862097185561026,0.996417816814076
"HP",1041409.08344826,0.276863358634147,0.380591409448873,0.727455617127742,0.466946894486194,0.988133333204232
"MT-ND4",845449.572862766,-0.849372430493934,0.354170591500796,-2.39820146244984,0.0164758007203652,0.645674539826768
"ALB",767698.501384503,-0.21292312767387,0.409486965108414,-0.519975349197007,0.603080756444603,0.996417816814076
"ORM1",715097.246448344,0.0426448388229255,0.35162355400099,0.121279812850095,0.903469408991898,0.996417816814076
"FGG",686391.067729564,0.459983026499912,0.435685127858862,1.05576940108206,0.291073581105888,0.955216971935621
"SERPINA1",691866.297103546,0.214291636505049,0.311597792380392,0.687718725052605,0.491629925914511,0.989609668798688
"MT-CO3",601076.862598932,-1.33115372992789,0.455281624810031,-2.92380288899935,0.00345783631659503,0.425909750703618
"SAA1",599357.40033424,0.279902413992084,0.424628839040445,0.659169581191409,0.509786878019071,0.99040814367672
"CRP",574027.49389224,0.340004891918187,0.378759679340815,0.897679743815193,0.36935631161948,0.974724145164519
"MT-RNR2",554704.209826594,-0.761714000367899,0.640897572743563,-1.1885112891084,0.234632034843401,0.939722585574959
"MT-CO2",477100.563892887,-1.11067587932255,0.410556899321706,-2.70529098684624,0.00682445798871536,0.497634354275406
"MT-ND2",414647.729245285,-0.575917284816105,0.382089308287174,-1.5072844812063,0.131737753678527,0.88028273421471
"C3",404163.712277639,0.3003804742685,0.311092630859682,0.965566022693694,0.334261384052031,0.965810633235873
"MT-CYB",357847.214673935,-0.79192626159011,0.38748719006682,-2.04374823707991,0.040978425196574,0.749710876805563
"MT-ATP6",363216.748053436,0.72337552768424,0.617445959704276,1.17156087316645,0.241373404667855,0.939722585574959
"MT-ND1",316696.133108523,-0.764697055468982,0.440883717474124,-1.7344642706472,0.0828357399756668,0.831509030120298
"SERPINA3",234687.929592014,-0.00335811304762813,0.436403346642798,-0.00769497547042597,0.993860358467188,0.999916454159156
"MT-ND5",209770.135798699,-0.61271761327492,0.312462743751765,-1.9609301445605,0.0498871722990601,0.781477692538829
"SAA2",197668.470875517,0.394570897193715,0.440535939651768,0.895661083873458,0.370433800900175,0.974724145164519
"APOB",153537.550847985,-0.462284460384941,0.369462141222431,-1.25123634820983,0.210848260516328,0.932338769882538
"FTL",141358.69930588,-0.724543607067926,0.2854363421309,-2.53837195943204,0.0111369547044581,0.59208571113393
"MT-ATP8",137586.184450158,-0.893886745222092,0.375103810281835,-2.38303829691964,0.0171704079564473,0.645674539826768
"CFB",116337.900325479,0.161139442815049,0.361927298886963,0.445225997902346,0.656156440640551,0.996417816814076
"FGL1",109365.528964101,-0.202890994203575,0.430257901673345,-0.471556695215818,0.637243242867493,0.996417816814076
"TF",109063.634923035,-0.365721800446804,0.521489269643169,-0.701302637918226,0.483114167832971,0.988133333204232
"MT-ND4L",106755.685281725,-0.816387400255309,0.34449768344237,-2.36979068218286,0.0177981582794908,0.646168986006571
"HPX",110149.078806534,0.491497106801248,0.330584779846019,1.48675056071904,0.137080703479704,0.885321676834862
"AMBP",107008.646188682,-0.0246639080594159,0.311487060140922,-0.0791811642135551,0.936888526327126,0.997536037550879
"ORM2",104700.915492067,0.320642380855695,0.313471002806033,1.02287732512885,0.306365851697608,0.958135179174555
"VTN",99926.5169328896,0.228052769427193,0.27893758611403,0.817576335280843,0.413599144822559,0.980145064075878
"GC",93756.9538232625,-0.00688842520107412,0.459671716372146,-0.014985531969292,0.988043722903848,0.99963367653773
"APOE",93058.8436300602,-0.00185313402707547,0.284843659334331,-0.00650579349881324,0.994809164428872,0.999952866613732
"MT-ND3",91014.1538141769,-0.645585268924711,0.42969401573173,-1.502430206819,0.13298604005237,0.880300258128149
"ITIH4",89241.8444643926,-0.0808250439490667,0.324929596600823,-0.248746327803313,0.803557010461754,0.996417816814076
"CYP2E1",89148.2162159778,0.260738304792982,0.447576404431575,0.582555966336343,0.56019225548424,0.993418987671875
"APOH",86052.9449060529,-0.288556529039024,0.368694808401106,-0.782643320339625,0.433836594890075,0.983769215023491
"ITIH3",88520.1181350498,0.315609370438587,0.34345251693429,0.918931598626108,0.35813135089204,0.973009812253607
"CP",83236.0419354344,-0.126822373747815,0.347372263491697,-0.365090673829365,0.715043722343679,0.996417816814076
"MT-ND6",83470.501832795,-0.733298199982764,0.384822534106663,-1.90554901283279,0.05670874267098,0.79552846374125
"APOA1",82375.6958444398,-0.00640291839074791,0.364403941597483,-0.0175709361503573,0.985981142689009,0.99963367653773
"EEF1A1",78833.9989638881,0.223469263871033,0.366309845942105,0.610055302489337,0.541825174191299,0.990486030119909
"MT-RNR1",78661.8900658401,-1.61025498070785,0.723975595103289,-2.22418406310797,0.0261360628522825,0.691565815582292
"MTATP6P1",74340.700172239,-1.33641023326416,0.568017442788322,-2.35276266641373,0.0186345235235771,0.646352527783311
"CFH",74167.9958107077,-0.443721638702935,0.397248311001085,-1.11698810646856,0.263999410546326,0.946503818241083
"RBP4",71252.3451351142,-0.437311869594205,0.41407746469179,-1.05611125183958,0.29091739037073,0.955216971935621
"C1R",67482.6724011323,0.911367397943419,0.34531691657031,2.63922024728799,0.00830969749883325,0.546814224542788
"LBP",63233.9656142395,0.596073563095155,0.366853561936726,1.62482697441538,0.104199431705978,0.859028556599394
"AC006254.1",64160.4290466914,0.186280464193312,0.376693723757033,0.49451438249463,0.62094295150022,0.996417816814076
"C9",60012.9365214496,-0.435169209538682,0.414287066413604,-1.05040500855084,0.293531943879357,0.955607397976235
"ALDOB",58776.3096957908,-1.21873963666257,0.503733354714518,-2.4194142104274,0.015545527166364,0.643291172368938
"C1S",60500.2753341877,-0.105048311045706,0.539850551233841,-0.1945877628644,0.845715683755722,0.996417816814076
"A2M",58333.5834887562,0.331694171896456,0.502996807485849,0.659435938677976,0.509615870432398,0.99040814367672
"C4BPA",55285.2566792688,-0.241373475553482,0.370038785884571,-0.652292367073045,0.514212583135483,0.99040814367672
"C4A",55988.2955886357,0.107316681197419,0.380411795429082,0.28210660785734,0.777861766593908,0.996417816814076
"AGT",56609.3363494253,0.216086368331291,0.410771966307264,0.526049453359373,0.598853847161713,0.996417816814076
"LRG1",56399.6736736834,0.662568583188353,0.405831559234436,1.63261966230085,0.102549013277582,0.857837099877564
"HSP90B1",53534.5321307647,0.237728815981,0.410237156997725,0.579491184369528,0.562257793269011,0.993890307205123
"C4B",54221.663175008,0.103758361134709,0.394844347458078,0.262782946755303,0.792717880246688,0.996417816814076
"APCS",53366.1611687386,-0.173526193915715,0.423815671837904,-0.409437888795398,0.682218339206346,0.996417816814076
"KNG1",52034.4562488037,-0.399848347511043,0.481787563762155,-0.829926668070736,0.406580245981422,0.980145064075878
"SERPING1",51843.8875298093,0.32017896640732,0.298726870124896,1.07181173984602,0.283804598990444,0.95098994340591
"P4HB",48020.7516613113,0.0263373030873994,0.312170318921097,0.0843683767836247,0.932763549289984,0.997536037550879
"HSPA5",44859.9812213037,-0.171228517749536,0.500151318939536,-0.342353426384218,0.732084933459483,0.996417816814076
"AL049839.2",43153.8953811763,-0.89875923985919,0.522896688397992,-1.71880843730859,0.0856492587041713,0.831509030120298
"CALR",44175.3666679171,0.248786851830965,0.350508245334573,0.709788871281728,0.477835071253478,0.988133333204232
"NNMT",42951.3993777977,-0.0145360932810756,0.44499002973336,-0.0326661100469728,0.973940849724625,0.99963367653773
"SERPINC1",42421.996867403,-0.168976063867253,0.516971912067667,-0.326857339679096,0.743775788345165,0.996417816814076
"APOA2",40520.3367409994,-1.05283423145637,0.346040877579639,-3.04251404868799,0.00234610865747816,0.383491973503665
"MT2A",38749.7853091477,-0.302876739864442,0.616201243444599,-0.491522441875229,0.623056983450743,0.996417816814076
"PLG",40150.5624095704,-0.333124791710266,0.533040250684184,-0.624952414536582,0.532002289945347,0.99040814367672
"GAPDH",39388.5519039349,-0.0369775452802513,0.277768816649346,-0.133123457579947,0.894095743789854,0.996417816814076
"SLC39A14",40109.9834497035,0.248815658251189,0.352334453458591,0.706191676143961,0.480068946102389,0.988133333204232
"FN1",39726.9459230039,0.117601681229225,0.427512753763838,0.275083445333164,0.783252129843313,0.996417816814076
"ITIH1",39493.1230483113,-0.00319379043341138,0.373797611803735,-0.00854417024763737,0.993182821420212,0.999916454159156
"CES1",36539.3010656097,-0.280664907553967,0.371517358549096,-0.755455703739014,0.449975601065089,0.984959726945901
"ACTB",36323.6341321378,-0.624747633971274,0.252748908141088,-2.47181140589747,0.0134430413597267,0.619323779130176
"TGM2",35698.0280179028,0.322215382234414,0.482430486042325,0.667900125627934,0.504197347204552,0.99040814367672
"AZGP1",37170.2244623084,-0.160248884367099,0.308128706918661,-0.520071258434876,0.603013909952086,0.996417816814076
"LDHA",36355.1971415358,0.215670933847754,0.364218854198685,0.592146538712965,0.553752465284194,0.992827077445386
"ATF5",35708.1044182778,0.427463613050429,0.34973760829398,1.22224091122369,0.221616536994331,0.936928417970191
"ADH1B",36346.8707989339,-0.121492453085297,0.75474355198724,-0.160971833101995,0.872115585230179,0.996417816814076
"SLC13A5",36482.9491774611,0.29300672475669,0.407227872906163,0.719515397277846,0.471823418723484,0.988133333204232
"SRRM2",35500.7659821545,-0.382181582726234,0.382283641304154,-0.999733029178094,0.317439723355399,0.960068355201096
"CPS1",34061.6829141233,-1.31970926389724,0.732158632177052,-1.8024908891303,0.0714682068599511,0.821003922272888
"CLU",33559.2606877754,0.319373488324548,0.41528938705486,0.769038406180985,0.441870511188359,0.984454515990148
"MTCO1P12",32132.8518347098,-0.877342845350379,0.433932870644715,-2.02184002342774,0.0431928815108293,0.758757965666248
"TTR",30349.9665545137,-0.54719836612628,0.64171220960427,-0.852716152095229,0.393816731500658,0.979609745693149
"B2M",30449.6175364363,0.110376501405643,0.336043689659339,0.32845878319434,0.742564803356236,0.996417816814076
"APOC3",29011.0886025994,-0.695429592900745,0.407989228957343,-1.70452929524141,0.0882822478649835,0.833802819548324
"AGXT",29695.9337784051,0.154996563046373,0.552830648395579,0.280368976459975,0.779194436134073,0.996417816814076
"SERPINF2",29438.2401876581,0.373405300359124,0.394806799414908,0.945792475997119,0.344254443934617,0.968233930547317
"IGFBP4",27294.3675483536,0.44341340837828,0.201665152685997,2.19876068062536,0.0278949436828177,0.699745156826571
"APOC1",27092.7949805408,-0.433640829817477,0.256870316014531,-1.68817026640379,0.0913785491384256,0.837861679767826
"ASS1",27272.4818136914,-0.261202629138688,0.48893569930407,-0.53422695358607,0.593184523114981,0.996417816814076
"FTH1",24743.7965733275,-0.394389063165189,0.387326552005399,-1.01823399692901,0.308566766624122,0.958196431010702
"CFHR1",27004.4981314243,0.0143116091592318,0.429443493672878,0.0333259424582957,0.973414666156388,0.99963367653773
"ITIH2",26502.4263126151,-0.0958418710074225,0.414736278151308,-0.231091119963363,0.81724401367252,0.996417816814076
"F2",27168.1374091036,0.475369926664636,0.287237685850252,1.65497060477108,0.0979304607833697,0.849385400548023
"PLA2G2A",26043.0488468284,-0.0805317216750039,0.759264792531809,-0.106065397035554,0.915530465403409,0.996954240459137
"EEF2",25936.9209767819,0.694665495568264,0.397479299641951,1.74767716505996,0.0805199450630796,0.831509030120298
"RPL3",24600.72772352,-0.224087044668313,0.334961397390936,-0.668993640502341,0.503499534702731,0.99040814367672
"FABP1",24731.0991453604,-1.12416359779826,0.757009520127829,-1.48500589214312,0.13754226328635,0.885942583968122
"PDIA3",24483.6904911108,0.0336583374597494,0.278890340412505,0.120686637658248,0.903939243231599,0.996417816814076
"TPT1",23830.40377627,-0.248093541947937,0.298776721608448,-0.83036436243205,0.406332808309864,0.980145064075878
"NAMPT",23281.3642942616,-0.333396880191683,0.481126611350677,-0.692950404999905,0.488340675883461,0.9884228686288
"SELENOP",24429.8177935955,-0.777310815814249,0.66026745321252,-1.17726659406314,0.239089115954896,0.939722585574959
"AOX1",24522.517215789,0.0593985220585724,0.561047558143727,0.10587074339134,0.915684906971633,0.996954240459137
"MTND2P28",23499.2053376845,-0.685776624050662,0.345163600754583,-1.98681617224831,0.046942771791011,0.770099192910556
"HRG",23001.8018635631,-1.15345908400807,0.587333810445228,-1.96389014814879,0.0495428326037485,0.781003548587206
"AHSG",23377.2021825232,-0.503958474835111,0.460474251512099,-1.0944335610085,0.273764871416765,0.947934043148451
"SCD",23167.2125645261,-0.692634486435588,0.68981155231246,-1.00409232654,0.315334113732661,0.959614495281631
"CANX",21793.6567945619,-0.233398374314128,0.242212437330057,-0.96361019643298,0.335241392849463,0.965810633235873
"CREB3L3",23555.3093295512,0.817914781111007,0.55779223408561,1.46634307745753,0.142554845374279,0.889892966099616
"ALDH2",22578.7000588006,-0.176788886029102,0.318411433644646,-0.555221538389864,0.578743138486288,0.994966071130088
"TAT",22313.2851540148,-0.849755939245505,0.794415404345883,-1.06966196098021,0.284771494310055,0.951233599683027
"C8B",22153.9414922065,0.00522820990138305,0.323910665293372,0.0161409007531374,0.987121983676141,0.99963367653773
"IFITM3",22013.3436577401,0.448879843855695,0.266096789504628,1.68690439554472,0.0916217367572751,0.837861679767826
"RPL13A",21014.1316420253,-0.123617027796993,0.3581736127255,-0.345131588160101,0.729995446868806,0.996417816814076
"CFHR3",22274.5608814398,0.0491732392018551,0.614628491959112,0.0800048156653406,0.93623342590359,0.997536037550879
"PEBP1",21047.6215892993,-0.0862647474449896,0.407617788390436,-0.211631459425812,0.832394564121046,0.996417816814076
"C6",21135.7042064265,-0.37880203141293,0.563250298978329,-0.672528771134313,0.50124713019465,0.99040814367672
"PPIB",20362.6794018853,-0.307497478651081,0.386967096076814,-0.79463469056822,0.426826032775798,0.982037127320071
"C5",20893.6450559172,-0.0427992903649738,0.381498238179646,-0.112187386681508,0.91067483000191,0.996686260394586
