"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1777186.39545164,-0.612329000394921,0.402798085420816,-1.52018845808366,0.128463617388243,0.587069034170945
"FGA",1098898.64668052,0.428237337011488,0.317778028518472,1.34759894825955,0.177787409051318,0.647049413894251
"FGB",1060068.62658975,0.0697155001044132,0.334254783850863,0.208569939676671,0.834783979117924,0.965353323278339
"HP",1041409.08344826,0.117787453352059,0.355548083469313,0.33128417456995,0.740429843914442,0.943577965648728
"MT-ND4",845449.572862766,-0.602910775788546,0.330864544992406,-1.82222841617068,0.06842033460729,0.477961296620056
"ALB",767698.501384503,-0.437092148149983,0.382541707889957,-1.14259998095611,0.253204713463807,0.719274198170244
"ORM1",715097.246448344,0.0195532246538475,0.328486196880992,0.0595252550624873,0.952533750507069,0.990957307032746
"FGG",686391.067729564,0.519769608566782,0.407016940159927,1.2770220530933,0.201594461606296,0.671738208176831
"SERPINA1",691866.297103546,-0.164019988034579,0.291094188868801,-0.56346019366434,0.573121558630183,0.895142750593152
"MT-CO3",601076.862598932,-0.365510046885906,0.425321745855815,-0.859373052159469,0.390134732195971,0.813171171446226
"SAA1",599357.40033424,-0.0751821429188589,0.396687717216641,-0.18952475626514,0.849681553996539,0.96814879394207
"CRP",574027.49389224,0.58879959137226,0.353837446785421,1.66403979206115,0.0961044776185385,0.53299988129568
"MT-RNR2",554704.209826594,-1.06946830824009,0.598724296526404,-1.78624504541538,0.0740595905106584,0.486922229121948
"MT-CO2",477100.563892887,-0.699841887279176,0.383539336962754,-1.82469389664492,0.0680472348134028,0.477373711846335
"MT-ND2",414647.729245285,-0.876156608074966,0.356945332682891,-2.45459606234252,0.0141042974777001,0.285630773735802
"C3",404163.712277639,0.0819476735996348,0.290622673109594,0.281972747421301,0.777964407155512,0.951900525036583
"MT-CYB",357847.214673935,-0.705216812662876,0.361987516530628,-1.94817992460579,0.051393438060131,0.442645467080986
"MT-ATP6",363216.748053436,-2.25158669286492,0.576815991010722,-3.90347481337955,9.48214219530766e-05,0.038269593193518
"MT-ND1",316696.133108523,-0.700024264712892,0.411870549674889,-1.69962204208448,0.0892020415464665,0.521630138733214
"SERPINA3",234687.929592014,0.186364383536857,0.407687470852092,0.457125609348121,0.647580764043201,0.9187003302797
"MT-ND5",209770.135798699,-0.717062394341883,0.291897851667899,-2.45655249000498,0.0140277307663462,0.285630773735802
"SAA2",197668.470875517,0.357524459675859,0.411549315174836,0.868728112265171,0.384995861205753,0.809820407918831
"APOB",153537.550847985,0.114194721923084,0.345149311168099,0.330856004135172,0.740753255660477,0.943702917184943
"FTL",141358.69930588,0.767046015509793,0.266653545805286,2.87656409440699,0.00402030539264185,0.17785985684178
"MT-ATP8",137586.184450158,-0.594728412164743,0.350414624171977,-1.69721344698462,0.0896563137546318,0.522335730930405
