"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",1777186.39545164,-1.57001438274272,0.461463621200434,-3.40224951786784,0.00066833588446679,0.0388240274070743
"FGA",1098898.64668052,0.893905094691418,0.364060334907672,2.45537623569488,0.0140737205288199,0.169858334385724
"FGB",1060068.62658975,0.131866928528186,0.38293705160991,0.344356671609087,0.730578069515306,0.905792933365002
"HP",1041409.08344826,0.394650811986206,0.407331487952362,0.968868903236768,0.33261060259309,0.675101529879717
"MT-ND4",845449.572862766,-1.45228320628248,0.379053980664547,-3.83133611665647,0.000127449254283235,0.016002129430931
"ALB",767698.501384503,-0.650015275823853,0.43825695649948,-1.48318301896623,0.138025791584669,0.477420331389957
"ORM1",715097.246448344,0.0621980634767729,0.376328378630999,0.165276038185151,0.868726718193923,0.957074727134678
"FGG",686391.067729564,0.979752635066695,0.466296300127789,2.10113748446684,0.0356288992467251,0.260300178896319
"SERPINA1",691866.297103546,0.0502716484704708,0.333490385508275,0.150743921429253,0.880177724803967,0.961569123362107
"MT-CO3",601076.862598932,-1.69666377681379,0.487268918348827,-3.48198646152756,0.000497708854851225,0.0326000692980866
"SAA1",599357.40033424,0.204720271073225,0.454462887450552,0.450466422509583,0.652374160099037,0.870876931473388
"CRP",574027.49389224,0.928804483290447,0.40537154160626,2.29124244787909,0.0219493951713375,0.209707917648446
"MT-RNR2",554704.209826594,-1.83118230860799,0.6859257796794,-2.669650803129,0.00759301678310176,0.132072797724026
"MT-CO2",477100.563892887,-1.81051776660173,0.439401640929184,-4.12041648905339,3.78188129867784e-05,0.00770493864452499
"MT-ND2",414647.729245285,-1.45207389289107,0.408933847365796,-3.55087724394742,0.000383949451773079,0.0294986417509713
"C3",404163.712277639,0.382328147868135,0.332950060797447,1.14830478466477,0.25084276460545,0.604517284114204
"MT-CYB",357847.214673935,-1.49714307425299,0.414710974052166,-3.61008791164678,0.000306093244420669,0.0258612219104326
"MT-ATP6",363216.748053436,-1.52821116518068,0.660825633962402,-2.31257851790239,0.0207458237563625,0.204176135576196
"MT-ND1",316696.133108523,-1.46472132018187,0.471859079933211,-3.10414990931021,0.00190826615941228,0.0694642214186059
"SERPINA3",234687.929592014,0.183006270489229,0.467065066775587,0.391821789954501,0.695189893765337,0.893192975424087
"MT-ND5",209770.135798699,-1.3297800076168,0.334414772380471,-3.97643919301472,6.99548758781999e-05,0.0115474028776371
"SAA2",197668.470875517,0.752095356869574,0.471488582255023,1.59515073148213,0.110678533153313,0.430827108272716
"APOB",153537.550847985,-0.348089738461857,0.395420603913617,-0.88030248048961,0.378695469229017,0.711312625392763
"FTL",141358.69930588,0.0425024084418672,0.305493568874795,0.139127015335915,0.889349780674597,0.965053332618859
"MT-ATP8",137586.184450158,-1.48861515738683,0.401456631669875,-3.70803479119247,0.000208873963948672,0.0207657378038285
"CFB",116337.900325479,0.0716682928061261,0.387356373322994,0.18501901024968,0.853214124968629,0.952076691506816
"FGL1",109365.528964101,-0.267615977058863,0.460487569588813,-0.581157874245831,0.561134056154327,0.822437537072961
"TF",109063.634923035,-1.01571200624357,0.55812728912496,-1.81985727276661,0.0687807431525805,0.348624481893201
"MT-ND4L",106755.685281725,-1.40576243087207,0.368699637365827,-3.81275783430528,0.000137424747021873,0.0166349166118162
"HPX",110149.078806534,0.505712687988678,0.353812517275233,1.42932390262293,0.152911158993111,0.496892519760891
"AMBP",107008.646188682,-0.0773147826611397,0.333372363981964,-0.231917192348081,0.816602330978267,0.937724297193885
"ORM2",104700.915492067,0.0767292164938628,0.335495222557177,0.228704349078432,0.819098714300668,0.938880286340373
"VTN",99926.5169328896,0.0778921051400678,0.29853590543557,0.260913691525384,0.794159066151105,0.929007855099019
"GC",93756.9538232625,0.533366837700438,0.49197021369986,1.08414457389453,0.278300702129748,0.625866838251403
"APOE",93058.8436300602,-0.207871652331393,0.304856431441344,-0.681867367365638,0.495322821453456,0.786311439199028
"MT-ND3",91014.1538141769,-1.46143179432162,0.459881334523947,-3.17784542361226,0.00148373831706221,0.0612862756653488
"ITIH4",89241.8444643926,-0.367403469248267,0.347758329114626,-1.05649078250306,0.29074404982676,0.637302429478981
"CYP2E1",89148.2162159778,0.421076649128885,0.479024060134196,0.879030270443874,0.379384863281256,0.711763116303062
"APOH",86052.9449060529,-0.281009428833321,0.39459945920285,-0.712138403334364,0.476379075448448,0.777707481214999
"ITIH3",88520.1181350498,-0.0348739590814165,0.36758273671114,-0.0948737674501339,0.924415093054622,0.975670809193441
"CP",83236.0419354344,-0.639270949132831,0.371776769969682,-1.71950213345757,0.085522979510568,0.384530505501669
"MT-ND6",83470.501832795,-1.34676300439119,0.411857372107455,-3.26997425710718,0.00107557272095399,0.0518264404732513
"APOA1",82375.6958444398,-1.03106760551785,0.390003112137222,-2.64374199443585,0.00819951300042731,0.137203491421354
"EEF1A1",78833.9989638881,0.83315916909595,0.39205090439217,2.12513007816591,0.0335757604184127,0.253606098571902
"MT-RNR1",78661.8900658401,-2.55337706659228,0.774837992830029,-3.29536895482666,0.000982925352242475,0.0490347263142372
"MTATP6P1",74340.700172239,-1.78442115534816,0.607923577190935,-2.93527216627052,0.00333255241939577,0.0916836863633107
"CFH",74167.9958107077,-0.599526084998261,0.425158233088701,-1.41012460382763,0.158502893493342,0.503243080376718
"RBP4",71252.3451351142,-0.543936630701519,0.443169997988085,-1.22737692797549,0.2196809539803,0.57532530077907
"C1R",67482.6724011323,0.403107214523733,0.369577575263109,1.09072422545322,0.275394247555237,0.623695334633022
"LBP",63233.9656142395,1.21063853599262,0.392634829016055,3.08337021202752,0.00204670364980018,0.0715359397263492
"AC006254.1",64160.4290466914,-0.731762282772674,0.403156243212432,-1.81508359374976,0.069511064044341,0.350647037745008
"C9",60012.9365214496,-0.82548208272182,0.443392889789782,-1.8617395581449,0.0626398097616575,0.333575737664038
"ALDOB",58776.3096957908,-1.3184793712046,0.539123843352538,-2.44559647558091,0.0144612752819939,0.172161755692597
"C1S",60500.2753341877,-0.430637162839523,0.577779180423951,-0.745331741658706,0.456071196857111,0.763638383259407
"A2M",58333.5834887562,-0.0343474150942248,0.53833629615604,-0.0638028967013381,0.949127171726632,0.984486730703854
"C4BPA",55285.2566792688,0.0367297309639768,0.396040076421645,0.0927424600455647,0.926108164114506,0.976107934765271
"C4A",55988.2955886357,0.244621790793591,0.407141412300988,0.600827583249501,0.547954830275196,0.815743368917381
